episode_id,split,target_scenario,planned_variant,capture_status,replacement_for,derived_from_episode_id,started_at_utc,ended_at_utc,capture_metadata_sha256,episode_sha256,notes
EVAL-v001-DEV-001,development,clear_success,A,planned,,,,,,,
EVAL-v001-DEV-002,development,clear_success,B,planned,,,,,,,
EVAL-v001-DEV-003,development,clear_success,C,planned,,,,,,,
EVAL-v001-DEV-004,development,clear_success,D,planned,,,,,,,
EVAL-v001-DEV-005,development,clear_success,E,planned,,,,,,,
EVAL-v001-DEV-006,development,clear_success,F,planned,,,,,,,
EVAL-v001-DEV-007,development,clear_success,G,planned,,,,,,,
EVAL-v001-DEV-008,development,clear_success,H,planned,,,,,,,
EVAL-v001-DEV-009,development,near_miss_no_contact,A,planned,,,,,,,
EVAL-v001-DEV-010,development,near_miss_no_contact,B,planned,,,,,,,
EVAL-v001-DEV-011,development,near_miss_no_contact,C,planned,,,,,,,
EVAL-v001-DEV-012,development,contact_no_retreat,A,planned,,,,,,,
EVAL-v001-DEV-013,development,contact_no_retreat,B,planned,,,,,,,
EVAL-v001-DEV-014,development,contact_no_retreat,C,planned,,,,,,,
EVAL-v001-DEV-015,development,wrong_finger_contact,A,planned,,,,,,,
EVAL-v001-DEV-016,development,wrong_finger_contact,B,planned,,,,,,,
EVAL-v001-DEV-017,development,wrong_finger_contact,C,planned,,,,,,,
EVAL-v001-DEV-018,development,occluded_or_blurred,A,planned,,,,,,,
EVAL-v001-DEV-019,development,occluded_or_blurred,B,planned,,,,,,,
EVAL-v001-DEV-020,development,multimodal_conflict,timestamp_shift,planned,,,,,,,
EVAL-v001-DEV-021,development,multimodal_conflict,camera_mismatch,planned,,,,,,,
EVAL-v001-DEV-022,development,aborted,process_exit,planned,,,,,,,
EVAL-v001-DEV-023,development,aborted,control_heartbeat_loss,planned,,,,,,,
EVAL-v001-DEV-024,development,abstained,readiness_missing_A,planned,,,,,,,
EVAL-v001-DEV-025,development,abstained,readiness_missing_B,planned,,,,,,,
EVAL-v001-ACC-001,acceptance,clear_success,A,planned,,,,,,,
EVAL-v001-ACC-002,acceptance,clear_success,B,planned,,,,,,,
EVAL-v001-ACC-003,acceptance,clear_success,C,planned,,,,,,,
EVAL-v001-ACC-004,acceptance,clear_success,D,planned,,,,,,,
EVAL-v001-ACC-005,acceptance,clear_success,E,planned,,,,,,,
EVAL-v001-ACC-006,acceptance,clear_success,F,planned,,,,,,,
EVAL-v001-ACC-007,acceptance,clear_success,G,planned,,,,,,,
EVAL-v001-ACC-008,acceptance,clear_success,H,planned,,,,,,,
EVAL-v001-ACC-009,acceptance,clear_success,I,planned,,,,,,,
EVAL-v001-ACC-010,acceptance,clear_success,J,planned,,,,,,,
EVAL-v001-ACC-011,acceptance,near_miss_no_contact,A,planned,,,,,,,
EVAL-v001-ACC-012,acceptance,near_miss_no_contact,B,planned,,,,,,,
EVAL-v001-ACC-013,acceptance,near_miss_no_contact,C,planned,,,,,,,
EVAL-v001-ACC-014,acceptance,near_miss_no_contact,D,planned,,,,,,,
EVAL-v001-ACC-015,acceptance,contact_no_retreat,A,planned,,,,,,,
EVAL-v001-ACC-016,acceptance,contact_no_retreat,B,planned,,,,,,,
EVAL-v001-ACC-017,acceptance,contact_no_retreat,C,planned,,,,,,,
EVAL-v001-ACC-018,acceptance,contact_no_retreat,D,planned,,,,,,,
EVAL-v001-ACC-019,acceptance,wrong_finger_contact,A,planned,,,,,,,
EVAL-v001-ACC-020,acceptance,wrong_finger_contact,B,planned,,,,,,,
EVAL-v001-ACC-021,acceptance,wrong_finger_contact,C,planned,,,,,,,
EVAL-v001-ACC-022,acceptance,wrong_finger_contact,D,planned,,,,,,,
EVAL-v001-ACC-023,acceptance,occluded_or_blurred,A,planned,,,,,,,
EVAL-v001-ACC-024,acceptance,occluded_or_blurred,B,planned,,,,,,,
EVAL-v001-ACC-025,acceptance,multimodal_conflict,timestamp_shift,planned,,,,,,,
EVAL-v001-ACC-026,acceptance,multimodal_conflict,camera_mismatch,planned,,,,,,,
EVAL-v001-ACC-027,acceptance,aborted,process_exit,planned,,,,,,,
EVAL-v001-ACC-028,acceptance,aborted,control_heartbeat_loss,planned,,,,,,,
EVAL-v001-ACC-029,acceptance,abstained,readiness_missing_A,planned,,,,,,,
EVAL-v001-ACC-030,acceptance,abstained,readiness_missing_B,planned,,,,,,,
